id,first_name,last_name,gender,Job Title,Seniority,Wage per year in euro,days sick,age,training hours,start date,upper management
40,Sianna,Moring,Female,Automation Specialist III,Sr,229851,5,62,25,07/27/2009,false
41,Anet,Stronach,Female,Electrical Engineer,IV,195326,10,45,7,12/12/2015,false
42,Maribelle,Friday,Female,VP Sales,Sr,494825,1,33,177,05/22/2009,false
43,Olympie,Huffey,Female,GIS Technical Architect,II,396223,7,25,84,08/31/2009,true
44,Lisbeth,Sadat,Female,Technical Writer,II,192139,4,23,61,06/11/2016,false
45,Margaretta,Merriton,Female,Financial Analyst,Jr,361445,7,25,190,06/29/2021,true
46,Leroy,Mannix,Male,Quality Control Specialist,Jr,309115,5,66,36,10/06/2021,true
47,Ethelred,Starie,Male,Community Outreach Specialist,II,452884,10,55,151,02/26/2010,true
48,Olva,Seilmann,Female,Media Manager II,II,202687,2,55,9,05/30/2007,false
49,Giulia,Seamarke,Female,Project Manager,Jr,180838,6,57,104,08/18/2014,false
50,Mike,Bridges,Male,Product Engineer,Sr,56013,1,62,107,04/13/2000,false
51,Bran,Huc,Male,Computer Systems Analyst IV,Sr,126106,6,25,54,02/26/2016,true
52,Klarrisa,Goforth,Female,Systems Administrator IV,III,204328,0,18,132,12/20/2021,false
53,Jimmie,Lafond,Male,Help Desk Technician,Jr,260460,1,43,154,03/24/2016,true
54,Murvyn,Folini,Male,Quality Engineer,IV,238940,2,32,82,02/08/2008,true
55,Dana,O'Halligan,Female,Administrative Officer,Sr,357231,11,31,119,03/26/2013,false
56,Cookie,Blasius,Female,Human Resources Manager,IV,372960,0,45,2,03/03/2009,false
57,Idelle,Wingar,Female,Systems Administrator I,III,222807,11,44,169,08/13/2017,false
58,Winfred,Byles,Male,Internal Auditor,IV,360482,6,30,157,09/18/2000,true
59,Rodger,Hold,Male,Structural Engineer,Jr,316120,8,52,181,02/06/2023,false
60,Nester,Hirthe,Male,VP Accounting,II,332060,5,68,0,09/28/2015,false
61,Miner,Packington,Male,Analyst Programmer,IV,157288,0,68,95,12/05/2019,true
62,Honor,Oret,Female,VP Sales,III,351100,2,73,166,06/09/2006,true
63,Mordecai,Domenici,Male,VP Marketing,II,232290,1,51,164,01/28/2020,true
64,Valera,felip,Female,Assistant Media Planner,II,319663,2,73,112,07/11/2018,false
65,Alidia,St. Leger,Female,Senior Financial Analyst,II,356416,7,71,96,11/27/2001,true
66,Neila,Cowp,Female,Media Manager II,IV,151472,1,23,175,12/29/2000,false
67,Berrie,Lortzing,Female,Analyst Programmer,Sr,417234,11,72,87,07/17/1999,false
68,Cale,Polhill,Male,Nuclear Power Engineer,Sr,464699,1,67,151,12/28/2004,true
69,Arden,MacPaike,Female,Food Chemist,Jr,306754,9,29,142,08/13/2018,true
70,Booth,Georgeson,Male,Executive Secretary,II,178063,7,41,149,12/15/2003,true
71,Curr,Pohlak,Male,Nurse,III,257548,2,35,200,07/04/2000,false
72,Gladi,Arstall,Female,Automation Specialist III,IV,407808,4,56,47,10/10/2000,true
73,Aaron,Antonsen,Male,Design Engineer,Sr,75192,5,47,145,04/20/2014,false
74,Dyan,Petrovsky,Female,VP Sales,III,449587,8,18,52,04/25/2019,false
75,Ricky,Dabrowski,Male,Recruiting Manager,III,217964,9,60,43,04/19/2016,true
76,Anne-corinne,Bonnefin,Female,Recruiting Manager,IV,475973,1,28,97,04/26/2000,false
77,Norry,Lyman,Non-binary,Editor,IV,349239,0,43,66,10/10/2021,false
78,Dyanna,Fisbey,Female,Food Chemist,Jr,305577,2,23,28,11/26/2015,true
79,Booth,Byrne,Agender,Engineer I,II,76142,4,42,59,11/06/2012,false
80,Cyndi,Anster,Agender,Technical Writer,III,117270,11,63,2,02/02/2011,false
81,Nadean,Roycroft,Female,Pharmacist,Sr,408702,7,45,150,09/14/2014,false
82,Theodore,Aggio,Male,Registered Nurse,III,284574,11,47,191,04/28/2002,false
83,Malva,Askam,Non-binary,Recruiter,IV,272413,11,19,76,01/26/2014,false
84,Ronny,Neilan,Male,Administrative Officer,Sr,105462,8,35,24,04/11/1999,true
85,Patsy,Callf,Female,Community Outreach Specialist,Jr,163851,3,50,38,06/25/2008,true
86,Bernadine,Gasken,Female,Structural Analysis Engineer,IV,199967,7,26,72,05/31/2001,false
87,Greggory,Rewbottom,Male,Safety Technician II,II,209223,0,70,189,02/24/2005,true
88,Sheridan,Gusney,Male,Electrical Engineer,IV,106849,9,60,91,11/15/2004,true
89,Merline,Hove,Female,Programmer Analyst III,II,485366,4,18,188,12/07/2010,true
90,Cecilio,Litterick,Male,Graphic Designer,Jr,340103,6,49,71,03/02/2009,false
91,Olivette,Pawelek,Female,Registered Nurse,Jr,389999,11,60,161,09/04/1999,false
92,Bernie,McCullough,Male,Budget/Accounting Analyst IV,IV,290242,7,48,179,12/31/2020,true
93,Velvet,Gerrets,Female,Physical Therapy Assistant,Jr,93678,3,53,15,09/15/2012,false
94,Martyn,Brocking,Male,VP Sales,Jr,336889,4,21,68,05/23/2000,false
95,Rozele,Waghorn,Bigender,Safety Technician IV,III,248078,9,45,180,04/06/2014,true
96,Ileane,Haysom,Female,Assistant Manager,IV,332180,7,37,173,02/09/2022,true
97,Alfie,Winmill,Genderfluid,Human Resources Assistant I,Sr,310070,7,71,150,03/18/2008,true
98,Roma,MacGregor,Male,Product Engineer,IV,48134,8,73,123,11/08/2018,true
99,Marnia,Swadlinge,Female,GIS Technical Architect,II,334778,8,72,114,05/08/2009,false
100,Uriel,Dillingham,Male,Teacher,II,406070,7,55,113,06/27/2003,true
101,Barr,Kibblewhite,Non-binary,Budget/Accounting Analyst I,III,286592,7,53,75,12/01/2005,false
102,Nicolis,Odger,Male,Senior Editor,Sr,140488,4,40,98,08/12/2002,false
103,Gisela,Rogeon,Female,Technical Writer,Jr,154283,0,59,9,07/29/2022,false
104,Linda,Viegas,Female,Programmer III,III,277281,1,41,161,08/26/1999,false
105,Roda,Carstairs,Polygender,Structural Analysis Engineer,IV,461632,3,19,28,08/17/2015,false
106,Christina,Paffot,Female,Systems Administrator IV,IV,302514,5,31,119,12/14/2018,false
107,Elizabeth,Maskew,Female,Account Representative IV,Jr,399675,6,20,150,10/06/2021,true
108,Gweneth,Scurrey,Female,Staff Accountant IV,IV,197910,3,46,54,12/13/2010,true
109,Granger,McCoish,Male,Associate Professor,III,114834,5,26,121,07/16/2007,true
110,Gustavo,Jouhning,Male,Graphic Designer,Sr,454516,8,52,167,11/23/2013,false
111,Eddy,Masser,Female,Registered Nurse,Sr,182905,6,25,172,05/18/2012,true
112,Donia,Vanshin,Female,Web Developer I,IV,162435,8,35,60,01/01/2008,false
113,Tamas,Guille,Male,Web Developer III,IV,181240,10,45,15,03/23/2010,true
114,Winny,Allflatt,Male,Help Desk Technician,Jr,235136,8,63,138,10/26/2015,false
115,Raffaello,Poyner,Male,Nuclear Power Engineer,II,461363,0,26,3,02/18/2006,false
116,Florette,Thams,Polygender,Desktop Support Technician,IV,304397,5,51,102,10/27/2014,true
117,Bud,Maccrea,Male,Software Engineer I,Sr,475778,4,43,143,08/03/2001,false
118,Belva,Patington,Female,Staff Accountant III,IV,192338,5,63,55,11/03/2019,false
119,Bonni,Hardbattle,Female,Executive Secretary,Jr,353092,7,30,166,08/13/2012,false
120,Humphrey,Clint,Male,Director of Sales,II,178893,10,62,111,08/02/2010,true
121,Calley,Sneller,Female,Geologist I,III,283518,4,32,43,05/22/2015,true
122,Emelen,Marham,Male,Account Representative IV,Jr,185364,0,28,79,07/13/2006,true
123,Kitty,Pinchen,Female,General Manager,Sr,320940,8,56,58,02/17/2009,false
124,Janeva,Slatter,Female,Operator,III,130612,8,30,125,10/25/2012,true
125,Juliette,Vannozzii,Female,Web Designer III,II,272640,2,58,184,11/06/2007,false
126,Edie,Elphey,Female,Staff Accountant IV,III,326827,6,20,10,04/10/2006,false
127,Thadeus,Ducaen,Male,Accounting Assistant IV,III,74524,6,73,142,03/18/2020,true
128,Fulton,Sire,Male,Assistant Media Planner,II,442090,9,46,25,02/02/2001,false
129,Rubi,Terrington,Female,Software Consultant,Sr,377860,5,30,31,05/11/1999,true
130,Maynard,Feehan,Male,Assistant Manager,III,168039,0,57,21,03/18/2004,false
131,Ware,Milby,Male,Physical Therapy Assistant,Jr,250869,4,61,59,05/04/2013,true
132,Gregory,Scadden,Male,Office Assistant II,IV,200878,4,23,118,04/01/2013,true
133,Catha,MacIlory,Female,Project Manager,IV,171134,6,65,109,06/23/2010,true
134,Miof mela,Keepin,Female,Research Assistant III,IV,436233,3,38,24,08/18/2003,true
135,Marj,Padgham,Female,Software Test Engineer IV,II,218124,9,43,83,03/23/2006,false
136,Florencia,D'Antuoni,Female,Junior Executive,III,132851,3,43,122,01/29/2023,true
137,Che,Bulteel,Male,Software Test Engineer I,Jr,40153,8,20,197,09/25/2007,true
138,Alberta,Padberry,Female,Human Resources Manager,III,309187,4,72,10,06/25/2017,false
139,Minetta,Stevenson,Female,Payment Adjustment Coordinator,Sr,301372,1,48,163,05/13/2003,true
140,Duane,Duxfield,Male,Legal Assistant,II,395948,6,30,169,08/27/2003,true
141,Arleta,Dallmann,Female,Staff Scientist,Jr,166588,11,48,96,02/09/2022,false
142,Paxton,Abelov,Agender,Software Engineer IV,III,138754,10,60,183,06/17/2003,false
143,Griswold,Rosini,Male,Engineer I,II,446855,5,31,23,12/26/2009,false
144,Jennette,Truin,Female,Account Coordinator,Jr,334920,4,37,182,03/13/2011,true
145,Nollie,Manning,Male,Physical Therapy Assistant,II,197010,7,55,38,06/16/2002,true
146,Prissie,Sidney,Female,Physical Therapy Assistant,IV,390167,8,27,195,04/29/2008,true
147,Griselda,Fleckno,Female,Chief Design Engineer,III,291057,0,62,132,12/02/2007,true
148,Druci,Glide,Female,Environmental Specialist,III,290264,1,44,70,01/14/2005,true
149,Julietta,Glenn,Female,Research Associate,Sr,305721,6,47,123,01/07/2003,false
150,Minetta,Klassman,Female,Technical Writer,Sr,279530,2,24,91,05/25/2018,false
151,Micheal,Jaggi,Male,Media Manager IV,Jr,46898,10,74,113,06/16/2016,false
152,Edwin,Dutch,Male,Project Manager,II,153204,3,35,76,05/02/2004,true
153,Karla,Hryniewicki,Female,Dental Hygienist,Jr,277555,6,41,95,12/18/2013,true
154,Andrey,Sallowaye,Male,Assistant Manager,Sr,418515,5,75,22,10/09/2006,false
155,Denver,Conaboy,Male,Associate Professor,II,376079,8,62,109,06/22/2005,false
156,Winslow,Pagnin,Male,Cost Accountant,Jr,111130,5,60,143,07/30/2004,false
157,Aloysia,Skirvin,Female,GIS Technical Architect,IV,403041,4,22,195,09/04/1999,true
158,Adele,Lamplugh,Female,Professor,Sr,361139,3,56,79,02/19/2013,false
159,Lon,Fairall,Male,Programmer I,IV,41054,8,52,117,07/31/2004,false
160,Loralee,Chiswell,Non-binary,Pharmacist,Jr,450049,7,49,120,03/22/2003,true
161,Karoly,Andraud,Male,Teacher,IV,457130,7,36,69,05/15/2019,true
162,Chere,Cansdale,Female,Assistant Media Planner,III,255661,5,73,118,08/27/2022,false
163,Coraline,Le Grys,Female,Programmer Analyst III,IV,52462,0,55,103,03/13/2012,false
164,Rutherford,Ruler,Male,Payment Adjustment Coordinator,IV,226764,6,44,2,09/03/2016,true
165,Massimiliano,Hurdidge,Male,Desktop Support Technician,IV,243601,10,45,199,01/17/2018,false
166,Gideon,Fitzsymons,Male,Financial Advisor,IV,178159,9,55,61,11/11/1999,false
167,Marlin,Plumtree,Non-binary,Senior Sales Associate,III,121794,2,28,59,03/18/2004,true
168,Babette,Canelas,Female,Assistant Manager,III,263320,0,58,48,08/12/2003,false
169,Dorelia,Prendiville,Female,Chemical Engineer,II,155848,10,47,66,07/20/2007,false
170,Tatum,Raye,Female,Analyst Programmer,II,301023,0,34,135,04/27/2008,false
171,Stephanus,Purse,Male,Biostatistician I,Jr,74253,11,59,199,01/26/2019,false
172,Nils,Malbon,Male,Operator,Jr,174164,7,53,40,05/03/2001,false
173,Ardyth,Rohlfs,Female,Food Chemist,Jr,365027,5,28,55,02/02/2015,true
174,Corbett,Iverson,Male,VP Quality Control,Jr,473489,8,45,161,11/30/2015,false
175,Wyn,Haylett,Male,Web Designer II,Jr,293715,3,27,0,10/10/2017,false
176,Kevina,Sampson,Non-binary,Environmental Tech,Jr,473662,4,66,167,01/13/2011,true
177,Clyde,Fishbourne,Male,Physical Therapy Assistant,Jr,478023,2,69,100,06/20/2002,true
178,Toby,Andreassen,Male,Geologist III,IV,497465,1,45,40,12/27/2017,false
179,Geraldine,Klejna,Female,Assistant Media Planner,Sr,328263,0,49,19,06/23/2007,false
180,Kati,Dalinder,Female,Internal Auditor,Jr,348310,8,54,153,03/28/2017,false
181,Justino,Sallis,Male,Biostatistician IV,III,103725,7,74,23,10/25/2012,true
182,Lemar,Ottee,Male,Quality Engineer,IV,342084,10,19,166,09/20/2001,false
183,Lyon,Gauld,Male,Paralegal,Jr,453108,0,51,88,02/26/2002,true
184,Misty,Mellor,Female,Engineer II,Sr,298559,3,70,27,01/14/2011,false
185,Allyson,Le Huquet,Female,Assistant Professor,IV,469223,3,46,32,03/26/2003,true
186,Hercule,Goldhawk,Male,Database Administrator III,Jr,311854,3,64,110,11/08/2003,false
187,Lawrence,Cleave,Male,Geological Engineer,II,366257,2,18,174,01/27/2013,false
188,Gloriana,Lincoln,Female,Junior Executive,II,354790,4,72,25,06/14/2021,true
189,Lise,Sute,Female,Structural Analysis Engineer,Sr,56898,0,53,164,12/14/2007,true
190,Rudiger,Gerrietz,Male,Registered Nurse,Sr,482726,8,74,57,01/18/2000,false
191,Vivyanne,Purver,Female,Legal Assistant,III,495858,3,33,168,11/12/1999,true
192,Elliott,Pothergill,Male,Food Chemist,Sr,194815,2,46,72,07/24/2004,false
193,Rurik,Colquitt,Male,Programmer Analyst III,Jr,348942,9,24,189,06/06/2013,true
194,Alden,Kivelhan,Male,Paralegal,II,165268,8,33,5,09/12/2000,true
195,Stafford,Bock,Male,VP Accounting,III,61931,2,47,52,12/03/2020,false
196,Enid,Wadsworth,Female,VP Product Management,Jr,126466,0,26,36,10/31/1999,true
197,Xerxes,Talmadge,Male,Sales Representative,Jr,129264,5,50,158,06/24/2016,true
198,Demetra,Jennings,Female,VP Marketing,IV,269695,10,60,190,11/08/2005,true
199,Pinchas,Mateos,Male,Media Manager I,Jr,53895,1,32,20,03/15/2008,false
200,Dore,Marguerite,Male,Accountant III,IV,388626,7,74,81,02/18/2008,true
201,Aldous,Farquhar,Genderqueer,Chief Design Engineer,II,202579,6,44,138,07/24/2021,true
202,Leonore,Tonn,Female,Speech Pathologist,III,88303,1,19,126,10/19/2001,true
203,Diandra,Sutherel,Female,Systems Administrator II,Jr,336287,8,26,158,09/04/1999,false
204,Della,Bohlin,Female,Senior Developer,II,85921,10,74,16,04/09/2019,true
205,Newton,Dahill,Male,Software Consultant,Sr,243625,11,62,80,08/16/2019,false
206,Marleen,Pritchett,Female,Teacher,IV,341079,0,34,111,03/11/2015,false
207,Reinhold,Dibbe,Male,Nurse,III,113108,10,51,110,03/22/2016,true
208,Dwain,Espin,Male,Junior Executive,Sr,357713,9,30,140,08/02/2002,true
209,Nancey,Ricks,Female,Web Developer II,IV,333553,5,40,105,04/20/2004,false
210,Wolf,Stickney,Male,Librarian,III,353472,2,55,8,05/21/2015,false
211,Jillian,Duckham,Female,Environmental Specialist,II,392322,1,28,18,01/07/2000,false
212,Winthrop,Benbow,Male,Librarian,Jr,90184,1,38,12,10/24/2018,true
213,Leicester,Nancarrow,Male,Automation Specialist II,II,471220,0,38,165,03/08/2018,false
214,Lynnette,Dibbs,Female,Associate Professor,III,231013,5,44,101,12/17/2006,false
215,Portie,Ruggs,Male,Desktop Support Technician,IV,103818,8,44,132,06/28/2009,false
216,Hermia,Colpus,Female,Chief Design Engineer,IV,207217,3,32,59,05/31/2003,false
217,Field,McKelvie,Male,Quality Control Specialist,IV,308077,3,41,63,12/03/2003,true
218,Ann-marie,Whitlaw,Female,Engineer III,III,112308,4,67,42,11/17/2003,false
219,Laurie,Stoddard,Male,Cost Accountant,Sr,268322,9,66,65,05/17/2018,false
220,Sisile,Dunseath,Female,Budget/Accounting Analyst III,Sr,159329,0,58,161,05/03/2015,true
221,Giffard,Yakunkin,Male,Software Consultant,Jr,449559,10,46,7,12/16/2022,false
222,Walsh,Vanns,Male,Internal Auditor,Sr,55393,11,23,48,05/14/2018,true
223,Wilhelmina,Myrtle,Female,Actuary,IV,139795,10,63,89,05/01/2009,true
224,Svend,Huntress,Male,General Manager,Jr,333329,0,73,28,03/16/2002,true
225,Lynn,Jervis,Male,Human Resources Assistant I,Jr,133844,1,25,73,08/22/2008,true
226,Robert,Coale,Male,Quality Control Specialist,II,364917,9,20,0,05/12/2018,true
227,Dud,Kleinschmidt,Male,Recruiter,IV,72422,4,55,142,07/25/2007,true
228,Putnam,McMinn,Male,Professor,Sr,222501,3,39,190,03/04/2015,false
229,Linn,Balfe,Male,Project Manager,III,286298,10,61,123,02/22/2015,true
230,Egon,Muris,Male,Geologist II,Jr,49498,10,70,162,02/11/2020,true
231,Bradford,Graveston,Male,Structural Engineer,Sr,200880,1,48,34,05/20/1999,false
232,Konrad,Camell,Male,Sales Representative,II,151567,6,43,136,09/10/2014,true
233,Diena,Jerrans,Genderfluid,Product Engineer,III,168771,3,50,14,01/02/2005,true
234,Joye,Streater,Female,Computer Systems Analyst I,IV,379451,3,73,68,04/18/2010,true
235,Deirdre,Millery,Female,Safety Technician II,III,241686,2,41,141,07/19/2014,false
236,Neysa,Beauchamp,Female,Senior Quality Engineer,Sr,137852,2,68,85,04/10/2020,true
237,Lynnet,De Winton,Female,Cost Accountant,Sr,158310,6,26,32,05/06/2016,false
238,Niccolo,Mundwell,Male,VP Accounting,IV,63160,10,69,119,06/21/2012,true
239,Tristam,Charker,Male,Account Coordinator,Sr,134356,1,63,185,01/31/2015,true
240,Jonas,Lidell,Male,Recruiting Manager,IV,372533,6,32,137,10/13/2001,true
241,Gus,Schild,Male,Software Engineer IV,IV,217160,8,70,87,04/17/2022,true
242,Pegeen,Rapelli,Female,Project Manager,II,238850,6,22,82,11/23/2010,false
243,Else,Alberti,Female,Senior Financial Analyst,III,341965,7,54,173,08/22/2005,true
244,Merrielle,Gildersleaves,Female,Automation Specialist III,IV,468674,11,40,78,11/16/2021,true
245,Yancey,Burt,Male,Mechanical Systems Engineer,III,154636,7,32,122,04/04/2004,false
246,Elsy,Dooher,Female,Recruiting Manager,IV,382572,10,58,11,09/07/2013,false
247,Bonnie,Lanfranchi,Female,Payment Adjustment Coordinator,IV,430251,8,44,101,08/05/2008,true
248,Merv,Wingate,Polygender,VP Marketing,II,415072,5,53,16,12/17/2017,true
249,Kelcie,MacMechan,Female,Associate Professor,IV,282246,5,51,186,11/05/2008,false
250,Nanon,Moloney,Female,Business Systems Development Analyst,III,481907,8,54,179,12/20/2014,true
251,Ashla,Slimme,Female,VP Sales,III,155361,3,62,113,05/04/2021,false
252,De witt,Benne,Male,Health Coach II,II,396652,10,48,194,04/12/2002,true
253,Nap,Rabbitts,Male,Community Outreach Specialist,Sr,459593,0,27,63,05/19/2009,true
254,Florenza,Cox,Female,Administrative Assistant II,II,437115,11,20,12,08/05/1999,true
255,Isak,Sketcher,Polygender,Marketing Manager,III,366667,5,41,72,07/17/2006,false
256,Sib,Trimming,Female,Media Manager II,III,469443,9,21,130,12/26/2017,true
257,Farlie,Braun,Male,Pharmacist,IV,246863,8,57,143,11/11/2004,false
258,Ivie,Redwood,Female,Analyst Programmer,Jr,91763,4,37,162,03/25/2020,true
259,Mac,Hunnisett,Male,Tax Accountant,Sr,45533,5,38,84,04/01/2001,false
260,Bartholemy,Conochie,Male,Legal Assistant,IV,252483,0,59,13,01/27/2019,false
261,Madeleine,Simioni,Female,Financial Advisor,IV,74279,8,47,63,02/09/2009,true
262,Louise,Rutledge,Female,Account Coordinator,II,439562,1,42,114,01/17/2020,true
263,Vernice,Bidgood,Female,Administrative Assistant III,III,209510,10,52,175,08/04/2012,true
264,Forrest,Quincey,Male,Quality Control Specialist,Sr,430369,0,61,124,07/05/2008,true
265,Lief,Ethington,Male,Developer IV,II,278398,2,47,140,07/07/1999,true
266,Ana,Kynston,Female,Human Resources Assistant III,Sr,89971,6,48,2,07/08/2010,true
267,Jarvis,Horder,Male,Editor,Jr,76168,8,49,189,04/12/2010,true
268,Katerina,Kroger,Female,Clinical Specialist,Jr,264979,5,55,90,05/25/2000,false
269,Guglielma,Statefield,Female,Senior Editor,Jr,325102,3,46,6,01/07/2004,true
270,Elia,Wiles,Male,Assistant Professor,IV,427035,7,75,193,06/03/2015,false
271,Lloyd,Rylatt,Male,Staff Scientist,Jr,267737,10,74,31,01/12/2001,true
272,Patrick,O'Gleasane,Male,Paralegal,III,70678,10,47,50,04/04/2016,true
273,Turner,Styche,Male,Accountant I,II,443890,0,73,100,06/28/2016,false
274,Virgil,Egdal,Bigender,Media Manager II,III,184145,8,51,17,07/15/2016,true
275,Baily,Bascomb,Bigender,Nurse Practicioner,IV,448063,7,57,93,08/26/2021,true
276,Bartolemo,Aireton,Male,Senior Quality Engineer,II,152780,4,71,52,10/12/2018,true
277,Ricki,Sjollema,Male,Legal Assistant,III,420766,6,25,109,12/24/2017,false
278,Reinaldos,Stearns,Male,Nuclear Power Engineer,Jr,435725,1,75,16,07/19/2018,true
279,Sherline,Colcutt,Female,Nurse Practicioner,Sr,470478,1,40,50,10/03/2000,true
280,Germain,Nore,Male,Information Systems Manager,III,435972,11,61,180,05/13/2020,false
281,Barnabe,Methley,Male,Financial Advisor,IV,147397,9,36,56,02/28/2018,false
282,Wilburt,Ciobutaro,Non-binary,Software Test Engineer I,Sr,209932,8,25,7,01/19/2021,true
283,Tate,Kristof,Male,VP Product Management,III,89048,10,22,151,01/22/2015,false
284,Salmon,Yakhin,Male,Data Coordiator,III,381003,5,18,21,01/16/2017,false
285,Ann-marie,Thouless,Female,Project Manager,Sr,477742,1,61,34,03/22/2007,true
286,Johannes,Wein,Genderqueer,Structural Analysis Engineer,Sr,346490,5,66,8,11/20/1999,true
287,Daria,Brownrigg,Female,Developer I,Sr,176974,10,64,101,11/24/2020,false
288,Doria,Ovey,Female,Food Chemist,II,120415,3,56,122,11/15/2007,true
289,Brit,Polycote,Genderfluid,Financial Advisor,III,216925,11,72,153,09/27/2018,true
290,Carmita,Cockshot,Female,Community Outreach Specialist,Sr,471014,10,33,52,08/12/2000,false
291,Johnnie,Duckitt,Male,Physical Therapy Assistant,Sr,71982,1,28,4,09/25/2008,true
292,Hasty,Armal,Male,Product Engineer,Jr,193265,7,65,23,04/27/1999,false
293,Esmaria,Worsnup,Female,Safety Technician II,II,315369,11,52,135,05/06/2017,true
294,Bathsheba,Onraet,Female,Civil Engineer,III,61153,4,66,28,01/03/2006,false
295,Mack,Powdrell,Male,Paralegal,IV,444034,7,31,118,02/07/2010,false
296,Minetta,Duckering,Female,Assistant Media Planner,III,301440,11,41,198,06/17/2014,true
297,Dwayne,Pundy,Male,Geological Engineer,Jr,275545,6,29,106,12/22/2022,true
298,Fidela,Osorio,Female,Web Designer IV,Sr,467825,0,23,144,07/13/2008,false
299,Florette,Claybourne,Female,Business Systems Development Analyst,Sr,235061,3,70,164,03/18/2011,false
300,Florri,Watting,Genderqueer,Assistant Manager,II,106284,9,24,59,03/21/2018,true
301,Madelle,Bilbery,Female,Sales Representative,III,162932,6,35,139,02/24/2003,false
302,Darnall,Hawkey,Male,Administrative Officer,IV,70930,11,28,184,04/28/2017,true
303,Arvin,Dedham,Male,Staff Accountant IV,IV,457894,10,42,55,10/17/2001,true
304,Levin,Stephenson,Non-binary,Web Designer II,II,97783,9,57,34,02/18/2002,true
305,Tremain,Timlett,Male,Accountant I,Jr,473407,5,26,70,09/01/2020,true
306,Wally,Houson,Female,Civil Engineer,III,175391,10,49,119,01/25/2000,true
307,Dal,McNerlin,Male,Chemical Engineer,II,435962,6,74,1,03/10/2000,true
308,Gardner,Blomfield,Male,Systems Administrator III,Jr,131941,4,72,42,03/23/2000,false
309,Davon,Leckey,Male,VP Quality Control,III,414249,4,35,194,11/01/2011,false
